FIPS,COUNTY,STATE,SUBREGION
51071,Giles,Virginia,South Central
51077,Grayson,Virginia,South Central
51089,Henry + Martinsville city,Virginia,South Central
51091,Highland,Virginia,South Central
51105,Lee,Virginia,Central
51121,Montgomery + Radford city,Virginia,South Central
51141,Patrick,Virginia,South Central
51155,Pulaski,Virginia,South Central
51163,Rockbridge + Buena Vista city + Lexington city,Virginia,South Central
51167,Russell,Virginia,Central
51169,Scott,Virginia,Central
51173,Smyth,Virginia,South Central
51185,Tazewell,Virginia,Central
51191,Washington + Bristol city,Virginia,South Central
51195,Wise + Norton city,Virginia,Central
51197,Wythe,Virginia,South Central
54001,Barbour,West Virginia,North Central
54003,Berkeley,West Virginia,North Central
54005,Boone,West Virginia,Central
54007,Braxton,West Virginia,North Central
54009,Brooke,West Virginia,North Central
54011,Cabell,West Virginia,North Central
54013,Calhoun,West Virginia,North Central
54015,Clay,West Virginia,North Central
54017,Doddridge,West Virginia,North Central
54019,Fayette,West Virginia,North Central
54021,Gilmer,West Virginia,North Central
54023,Grant,West Virginia,North Central
54025,Greenbrier,West Virginia,North Central
54027,Hampshire,West Virginia,North Central
54029,Hancock,West Virginia,North Central
54031,Hardy,West Virginia,North Central
54033,Harrison,West Virginia,North Central
54035,Jackson,West Virginia,North Central
54037,Jefferson,West Virginia,North Central
54039,Kanawha,West Virginia,North Central
54041,Lewis,West Virginia,North Central
54043,Lincoln,West Virginia,Central
54045,Logan,West Virginia,Central
54047,McDowell,West Virginia,Central
54049,Marion,West Virginia,North Central
54051,Marshall,West Virginia,North Central
54053,Mason,West Virginia,North Central
54055,Mercer,West Virginia,North Central
54057,Mineral,West Virginia,North Central
54059,Mingo,West Virginia,Central
54061,Monongalia,West Virginia,North Central
54063,Monroe,West Virginia,North Central
54065,Morgan,West Virginia,North Central
54067,Nicholas,West Virginia,North Central
54069,Ohio,West Virginia,North Central
54071,Pendleton,West Virginia,North Central
54073,Pleasants,West Virginia,North Central
54075,Pocahontas,West Virginia,North Central
54077,Preston,West Virginia,North Central
54079,Putnam,West Virginia,North Central
54081,Raleigh,West Virginia,North Central
54083,Randolph,West Virginia,North Central
54085,Ritchie,West Virginia,North Central
54087,Roane,West Virginia,North Central
54089,Summers,West Virginia,North Central
54091,Taylor,West Virginia,North Central
54093,Tucker,West Virginia,North Central
54095,Tyler,West Virginia,North Central
54097,Upshur,West Virginia,North Central
54099,Wayne,West Virginia,Central
54101,Webster,West Virginia,North Central
54103,Wetzel,West Virginia,North Central
54105,Wirt,West Virginia,North Central
54107,Wood,West Virginia,North Central
54109,Wyoming,West Virginia,Central
